"","Rating","Age","Income","Cards","Education","Loans"
"1442","good",33,3,1,2,1
"1511","good",47,1,2,1,2
"1854","good",27,2,1,2,1
"2397","good",39,3,1,1,1
"301","bad",33,1,2,1,2
"161","bad",29,1,2,2,2
"137","bad",31,1,1,1,1
"1832","good",43,3,1,2,2
"1618","good",48,2,2,1,2
"1089","good",21,3,2,1,2
"2373","good",39,3,1,2,1
"705","bad",40,2,2,1,2
"856","bad",29,2,2,2,2
"898","bad",29,3,2,2,2
"2231","good",32,1,2,1,2
"273","bad",21,1,2,1,2
"1607","good",46,3,2,2,2
"156","bad",22,2,1,2,1
"25","bad",20,2,2,1,2
"1449","good",31,2,2,2,2
"1175","good",38,3,2,2,2
"952","bad",26,1,2,1,2
"594","bad",29,3,1,1,1
"537","bad",34,1,2,1,2
"514","bad",29,2,2,2,2
"984","bad",40,2,2,1,2
"992","bad",30,3,2,1,2
"1536","good",34,3,1,2,1
"1361","good",25,2,1,2,1
"1004","bad",24,1,2,1,2
"1641","good",42,2,2,1,2
"1744","good",27,3,2,1,2
"1905","good",36,2,1,2,1
"1427","good",32,3,1,2,1
"42","bad",25,2,2,1,2
"533","bad",43,1,2,2,2
"1583","good",33,2,2,2,2
"1210","good",28,3,1,1,1
"461","bad",35,2,2,2,2
"401","bad",33,2,2,1,2
"1924","good",53,3,2,1,2
"110","bad",36,1,2,2,2
"352","bad",31,1,2,1,2
"1604","good",34,2,2,2,2
"2396","good",28,3,1,2,1
"683","bad",30,1,2,1,2
"1841","good",27,2,1,1,1
"2436","good",21,3,1,1,1
"1233","good",49,3,1,2,1
"837","bad",21,2,2,2,2
"2042","good",39,2,2,2,2
"326","bad",32,2,2,1,2
"356","bad",21,1,2,2,1
"911","bad",23,1,2,2,2
"398","bad",32,1,2,1,2
"1165","good",39,2,1,1,1
"2054","good",42,2,2,2,2
"150","bad",28,2,2,1,2
"232","bad",25,2,2,1,2
"224","bad",27,2,1,1,1
"2095","good",23,2,1,2,1
"40","bad",24,1,2,1,2
"1822","good",33,3,1,2,1
"1769","good",27,2,1,2,1
"779","bad",39,2,2,1,2
"2351","good",35,2,2,2,2
"775","bad",27,2,2,2,2
"588","bad",32,1,2,2,2
"1580","good",37,2,2,2,2
"1404","good",40,2,2,1,1
"889","bad",29,3,2,1,2
"1238","good",34,3,2,1,2
"2172","good",22,3,1,2,1
"924","bad",28,1,2,1,2
"811","bad",24,2,2,2,1
"1596","good",31,3,2,1,2
"189","bad",27,2,2,2,2
"734","bad",28,2,2,2,2
"557","bad",37,1,2,2,2
"1072","good",29,3,2,1,2
"2193","good",39,2,2,2,2
"465","bad",27,2,2,1,2
"2389","good",38,3,1,2,1
"1292","good",33,2,1,1,2
"70","bad",44,2,2,1,1
"1303","good",34,3,2,1,2
"718","bad",23,2,2,1,2
"184","bad",44,2,1,2,1
"988","bad",28,2,2,2,2
"1823","good",33,2,1,1,1
"692","bad",26,2,1,1,1
"1332","good",48,2,2,2,2
"2121","good",39,2,2,2,2
"69","bad",28,2,2,1,2
"102","bad",24,1,2,2,2
"993","bad",28,1,2,1,2
"1742","good",33,2,1,1,2
"887","bad",24,3,2,1,2
"494","bad",29,1,2,1,1
"1493","good",53,3,1,1,1
"2219","good",42,2,2,2,2
"2082","good",57,2,2,1,2
"1148","good",41,2,2,1,2
"299","bad",21,2,2,1,2
"2356","good",38,3,2,2,2
"1871","good",56,2,1,1,1
"355","bad",26,2,2,1,2
"1805","good",45,2,1,1,1
"869","bad",36,2,2,2,2
"1187","good",27,1,1,1,1
"1387","good",48,2,2,1,2
"1888","good",24,2,2,1,2
"1850","good",42,3,2,1,2
"2425","good",35,3,2,2,2
"374","bad",33,2,2,2,2
"59","bad",21,1,2,2,1
"2319","good",51,1,1,1,2
"1783","good",46,2,1,1,1
"260","bad",29,2,2,2,2
"712","bad",35,1,1,1,1
"2412","good",35,3,1,1,2
"2274","good",48,3,1,2,1
"1979","good",24,1,1,2,1
"1020","bad",23,2,2,2,2
"1719","good",41,3,2,1,2
"1127","good",48,2,1,2,2
"470","bad",23,2,2,2,2
"1405","good",50,2,1,2,1
"2116","good",44,2,1,2,1
"1227","good",45,2,1,2,1
"714","bad",21,1,2,1,2
"162","bad",38,1,2,1,2
"1597","good",33,2,2,1,2
"1983","good",47,1,2,1,1
"1953","good",50,3,2,1,2
"1969","good",48,1,2,1,2
"1530","good",38,3,2,2,2
"1402","good",38,2,2,2,2
"1920","good",20,2,1,2,2
"1526","good",47,3,2,1,2
"1261","good",24,3,1,2,1
"93","bad",24,1,2,1,2
"1498","good",26,2,2,1,2
"999","bad",38,1,2,2,2
"455","bad",28,1,2,1,2
"925","bad",31,2,2,1,2
"1654","good",26,3,2,2,1
"713","bad",28,1,2,1,2
"1842","good",39,3,2,2,2
"210","bad",23,1,2,1,2
"1971","good",33,3,1,2,1
"2346","good",26,2,1,2,1
"1411","good",41,2,2,1,2
"1446","good",35,2,2,1,2
"539","bad",34,1,2,2,2
"1223","good",38,2,1,1,1
"2100","good",45,3,2,1,2
"1815","good",26,3,1,1,1
"1570","good",25,3,1,1,1
"275","bad",23,2,2,2,2
"1782","good",29,3,2,2,2
"1492","good",22,2,2,2,2
"1333","good",47,2,1,2,1
"986","bad",28,1,1,2,1
"362","bad",40,2,2,1,2
"951","bad",20,1,2,2,2
"681","bad",24,2,2,1,2
"1291","good",40,3,2,1,2
"436","bad",30,1,2,1,2
"1323","good",30,3,2,2,2
"372","bad",25,2,2,2,2
"631","bad",36,1,2,2,2
"1006","bad",20,2,2,2,2
"2287","good",32,3,2,2,2
"2155","good",25,2,2,2,1
"710","bad",22,1,2,2,2
"2243","good",26,3,1,2,1
"354","bad",30,1,2,1,2
"1853","good",34,2,2,2,2
"1994","good",48,3,2,1,2
"1245","good",53,3,2,1,1
"515","bad",25,2,1,2,1
"2376","good",38,3,2,2,2
"2096","good",30,2,1,2,1
"234","bad",33,2,2,2,2
"689","bad",38,3,2,2,2
"1790","good",31,2,2,2,2
"815","bad",23,2,2,1,2
"1460","good",28,2,2,1,2
"813","bad",41,1,2,2,2
"761","bad",22,2,2,2,2
"1070","good",30,3,2,1,2
"200","bad",24,2,2,2,2
"550","bad",44,1,2,2,2
"2383","good",42,3,2,2,1
"1647","good",43,3,2,1,2
"54","bad",24,1,2,2,2
"935","bad",27,1,2,1,2
"2269","good",40,2,1,1,1
"163","bad",29,1,2,2,2
"185","bad",22,1,2,1,2
"545","bad",26,2,2,1,2
"1589","good",33,2,2,2,2
"969","bad",28,2,2,2,2
"219","bad",25,2,2,1,2
"1826","good",38,2,2,2,2
"1935","good",41,2,2,2,1
"1614","good",31,2,1,2,1
"562","bad",23,1,2,2,2
"1693","good",29,2,1,1,1
"1377","good",35,2,1,2,1
"2110","good",39,3,2,2,2
"1467","good",33,2,2,1,2
"1631","good",36,2,2,2,2
"1630","good",32,3,1,1,1
"680","bad",41,2,2,1,1
"27","bad",29,2,2,2,2
"1640","good",23,3,2,2,1
"1626","good",42,2,2,1,1
"2414","good",38,2,2,1,2
"160","bad",20,1,2,2,2
"1602","good",42,2,2,2,2
"1896","good",52,2,1,1,1
"792","bad",39,2,2,1,2
"53","bad",33,1,2,1,2
"994","bad",21,2,2,2,2
"1226","good",34,3,1,2,1
"1009","bad",27,1,2,1,2
"554","bad",30,1,2,2,2
"1722","good",40,3,2,2,2
"2123","good",27,1,1,1,1
"1743","good",28,3,2,2,2
"1559","good",39,3,1,1,1
"173","bad",34,2,2,1,1
"486","bad",30,1,2,2,2
"334","bad",27,2,2,2,2
"2415","good",26,3,1,1,1
"770","bad",41,1,2,1,2
"1848","good",45,3,2,2,2
"1686","good",36,3,1,1,1
"1574","good",40,2,1,2,1
"2117","good",41,3,2,2,2
"2293","good",41,3,2,2,2
"3","bad",29,1,2,1,2
"1472","good",37,3,1,2,1
"2239","good",47,2,2,2,2
"444","bad",29,1,2,2,2
"1858","good",45,2,1,1,1
"187","bad",54,1,2,2,2
"1863","good",24,3,1,2,1
"955","bad",30,3,2,1,2
"2312","good",51,2,2,1,2
"2454","good",31,3,1,2,1
"2014","good",22,3,1,2,1
"585","bad",29,2,2,1,2
"2391","good",31,3,1,2,1
"135","bad",29,1,1,1,1
"1023","good",27,3,1,1,1
"1943","good",29,3,2,1,2
"1936","good",35,1,1,1,1
"963","bad",28,1,2,1,2
"264","bad",34,1,2,2,2
"242","bad",35,1,2,1,2
"818","bad",48,1,2,2,2
"2200","good",39,2,1,1,1
"1933","good",26,1,2,2,2
"2252","good",30,3,1,2,1
"244","bad",39,2,2,1,2
"1221","good",28,3,1,2,1
"546","bad",28,2,2,1,2
"812","bad",44,1,2,2,2
"1677","good",32,2,1,2,1
"1129","good",28,2,2,2,2
"810","bad",24,1,2,1,2
"603","bad",38,1,2,2,2
"344","bad",27,2,2,2,2
"1358","good",32,3,2,1,2
"1409","good",26,2,2,1,2
"1775","good",24,3,1,1,1
"1465","good",27,3,1,1,1
"2401","good",49,2,2,1,2
"882","bad",31,2,2,1,2
"105","bad",41,2,2,1,2
"21","bad",22,1,2,2,2
"2316","good",45,2,2,1,2
"439","bad",31,1,2,2,1
"1770","good",45,3,1,2,1
"203","bad",28,2,2,1,2
"2297","good",33,3,1,2,1
"220","bad",30,2,2,1,2
"1200","good",51,3,2,2,2
"1523","good",38,2,1,1,1
"1307","good",29,2,1,2,2
"2320","good",35,2,1,2,2
"2334","good",30,3,2,1,1
"1571","good",28,2,1,1,1
"618","bad",27,2,2,2,2
"2379","good",51,3,2,2,2
"605","bad",20,2,2,1,2
"1416","good",30,3,2,1,2
"11","bad",23,1,2,2,2
"28","bad",30,2,2,1,2
"302","bad",34,1,2,1,2
"1130","good",23,2,2,1,2
"1199","good",41,3,1,2,1
"527","bad",33,3,2,2,2
"2300","good",35,2,1,1,1
"1900","good",40,3,2,2,2
"1335","good",49,3,2,2,2
"723","bad",33,2,2,1,2
"1667","good",24,2,2,1,2
"1437","good",36,3,2,2,2
"1670","good",31,3,1,2,1
"852","bad",32,1,2,1,2
"391","bad",23,2,2,1,2
"1052","good",38,2,1,2,1
"783","bad",34,2,2,1,1
"2362","good",39,3,1,1,2
"1403","good",40,3,2,1,2
"392","bad",22,2,2,1,2
"1761","good",25,3,2,2,2
"1359","good",29,3,2,2,2
"2185","good",38,3,2,1,2
"1010","bad",21,2,2,2,2
"1760","good",24,2,1,2,1
"1956","good",41,2,2,2,1
"644","bad",23,2,2,1,2
"1950","good",21,2,1,2,1
"2218","good",32,2,2,1,2
"2283","good",47,3,2,2,2
"431","bad",37,2,2,1,1
"1799","good",43,2,1,2,1
"286","bad",26,1,2,2,1
"58","bad",21,1,2,1,2
"1222","good",28,2,2,2,2
"1753","good",23,2,1,1,1
"1080","good",47,2,1,1,1
"634","bad",35,2,1,2,1
"932","bad",23,1,2,1,2
"2429","good",38,2,1,2,2
"214","bad",29,2,2,2,2
"1085","good",40,3,2,1,1
"279","bad",30,2,2,2,2
"1164","good",32,2,1,1,1
"1043","good",38,3,2,2,1
"1457","good",28,3,1,1,1
"965","bad",49,1,2,2,2
"1798","good",31,3,2,1,2
"201","bad",28,2,2,1,2
"1627","good",37,2,1,1,1
"1206","good",33,2,2,1,2
"687","bad",21,1,1,2,2
"2427","good",40,1,1,1,1
"850","bad",22,1,2,2,2
"1792","good",39,2,1,2,1
"2227","good",33,2,1,1,1
"1750","good",45,2,1,2,2
"1801","good",30,2,2,2,1
"1281","good",35,2,1,1,2
"378","bad",30,1,2,1,2
"2232","good",29,3,2,1,2
"1875","good",29,3,1,1,1
"1000","bad",50,1,2,2,2
"700","bad",25,3,2,1,2
"1079","good",28,2,1,1,1
"248","bad",28,3,2,2,2
"2013","good",31,1,1,2,1
"314","bad",35,1,2,1,2
"146","bad",26,1,2,1,2
"1047","good",39,2,2,1,2
"63","bad",23,2,2,2,2
"777","bad",20,2,2,2,2
"2065","good",29,3,1,2,1
"226","bad",25,2,2,2,2
"1509","good",50,2,1,2,1
"613","bad",22,3,1,1,1
"407","bad",28,1,2,1,2
"1834","good",33,3,1,2,1
"1447","good",47,1,1,1,1
"1163","good",43,3,2,1,2
"2332","good",36,3,1,1,1
"1794","good",29,2,2,2,2
"1451","good",34,2,1,2,1
"1710","good",35,2,2,1,2
"2188","good",33,3,1,2,1
"1824","good",24,2,1,2,2
"2242","good",41,2,1,1,2
"390","bad",33,2,2,1,2
"1584","good",26,2,2,1,2
"2321","good",45,1,1,1,1
"547","bad",27,2,2,2,2
"1024","good",28,1,1,1,1
"1054","good",27,2,2,1,2
"1780","good",42,3,2,2,2
"575","bad",30,2,2,1,2
"1748","good",30,3,2,2,2
"758","bad",25,2,2,2,2
"94","bad",26,2,2,2,2
"691","bad",34,2,2,1,2
"86","bad",29,1,2,2,2
"1620","good",42,2,1,1,1
"630","bad",38,2,2,1,2
"1868","good",39,3,1,2,1
"2024","good",26,2,2,1,2
"791","bad",22,1,2,1,2
"1207","good",21,2,1,1,1
"875","bad",47,2,2,1,2
"1064","good",30,3,1,2,2
"2178","good",43,2,1,2,1
"730","bad",27,2,2,2,2
"1996","good",36,2,2,2,2
"1904","good",32,2,2,1,2
"6","bad",39,2,2,2,2
"647","bad",24,1,2,1,2
"75","bad",24,1,2,2,2
"358","bad",38,1,2,1,2
"2372","good",30,3,2,1,2
"1709","good",43,2,2,1,1
"1499","good",21,2,2,1,2
"148","bad",44,1,2,1,1
"255","bad",37,2,1,1,1
"1774","good",29,3,2,1,2
"1984","good",34,2,1,1,1
"633","bad",30,2,2,1,2
"1083","good",25,3,2,2,2
"282","bad",27,3,2,1,2
"817","bad",24,3,2,1,2
"1319","good",31,2,1,2,1
"1325","good",28,2,1,1,1
"2327","good",21,2,2,1,1
"962","bad",41,2,2,2,2
"1426","good",33,2,1,2,1
"136","bad",23,1,2,1,2
"487","bad",25,2,1,2,1
"1046","good",39,2,1,2,1
"2128","good",35,3,2,1,2
"1675","good",26,3,2,1,2
"484","bad",38,3,2,2,2
"702","bad",31,2,2,1,1
"665","bad",28,1,2,1,1
"621","bad",31,1,2,1,1
"961","bad",34,1,2,1,2
"1913","good",29,2,1,1,1
"446","bad",31,3,2,1,2
"750","bad",32,1,2,1,2
"1288","good",37,3,2,1,1
"966","bad",34,1,2,2,2
"1615","good",27,3,2,2,2
"308","bad",20,1,1,1,1
"120","bad",25,1,2,2,2
"872","bad",36,3,2,1,2
"2088","good",45,2,2,2,2
"845","bad",27,1,2,2,1
"338","bad",32,1,2,2,2
"526","bad",25,2,2,1,2
"1334","good",41,3,2,1,1
"9","bad",32,1,2,1,2
"44","bad",21,1,2,1,2
"452","bad",22,2,1,1,1
"1980","good",44,2,2,2,2
"703","bad",24,1,2,2,2
"2047","good",33,3,2,2,2
"1747","good",27,1,2,2,2
"2453","good",32,2,1,1,1
"438","bad",22,2,2,1,2
"1477","good",22,3,1,1,1
"720","bad",26,1,2,2,1
"127","bad",27,3,2,2,2
"2039","good",43,3,1,1,1
"945","bad",33,3,2,1,1
"876","bad",23,1,2,1,2
"1887","good",23,3,1,1,1
"840","bad",29,1,2,2,2
"2087","good",32,1,1,2,1
"939","bad",26,2,2,2,2
"303","bad",25,2,2,1,1
"410","bad",30,1,2,1,2
"2277","good",30,3,1,2,1
"304","bad",22,2,2,2,2
"642","bad",25,3,2,1,2
"985","bad",30,3,1,2,1
"405","bad",45,2,2,2,2
"773","bad",23,1,2,1,2
"884","bad",23,1,2,2,2
"1891","good",39,3,1,1,1
"427","bad",31,2,2,1,2
"1893","good",28,3,1,2,1
"2206","good",39,1,1,2,1
"2222","good",40,2,2,1,2
"2399","good",41,2,2,1,2
"1149","good",36,2,2,1,2
"2197","good",41,1,1,1,1
"128","bad",40,3,2,2,2
"909","bad",23,2,2,1,2
"1723","good",50,2,2,2,2
"2370","good",26,3,1,1,2
"1287","good",39,3,2,1,2
"2352","good",34,3,2,1,2
"1341","good",36,2,2,2,2
"1115","good",36,1,1,2,2
"1813","good",43,3,2,1,2
"1927","good",37,3,1,2,1
"978","bad",24,3,2,2,2
"30","bad",40,1,2,2,1
"2324","good",25,2,2,2,2
"1637","good",27,2,2,2,2
"1906","good",39,2,1,1,1
"180","bad",23,2,2,1,1
"1154","good",35,2,2,2,2
"1562","good",40,2,2,1,2
"926","bad",25,1,2,1,2
"814","bad",25,1,2,1,2
"2134","good",37,2,2,2,1
"2434","good",52,3,2,2,2
"1136","good",36,3,1,2,1
"2130","good",24,1,2,1,1
"1345","good",34,2,2,1,2
"1298","good",32,3,1,2,2
"2234","good",44,2,2,1,2
"1475","good",50,3,2,1,2
"721","bad",27,2,2,1,2
"1763","good",45,3,2,2,1
"1120","good",42,3,2,2,2
"1399","good",42,1,2,2,1
"420","bad",25,2,2,2,2
"1141","good",36,3,1,2,1
"121","bad",32,1,2,1,2
"2086","good",40,2,2,2,2
"1330","good",48,3,1,2,1
"2262","good",30,3,2,2,2
"1422","good",42,3,1,2,1
"2044","good",37,3,2,1,2
"1674","good",24,3,2,2,2
"2160","good",40,3,2,2,2
"1740","good",47,1,2,1,2
"116","bad",27,1,2,2,2
"419","bad",20,1,1,2,2
"380","bad",40,2,2,2,2
"38","bad",21,2,2,1,2
"1145","good",32,1,1,1,1
"1611","good",26,2,1,1,1
"2250","good",44,3,1,2,1
"1758","good",41,3,1,1,2
"1393","good",46,1,1,2,1
"1628","good",28,2,2,1,1
"789","bad",22,1,2,1,2
"1102","good",33,3,2,1,2
"1629","good",24,2,2,1,2
"262","bad",25,1,2,2,2
"1003","bad",22,1,2,2,2
"781","bad",29,3,2,2,1
"2205","good",40,3,1,1,1
"1503","good",32,3,1,2,2
"2382","good",38,2,1,2,1
"737","bad",31,2,2,1,2
"1993","good",44,2,1,1,1
"1057","good",40,1,2,2,2
"368","bad",24,2,2,1,2
"1836","good",21,2,1,1,1
"118","bad",37,2,2,1,2
"834","bad",31,2,2,1,2
"1432","good",26,2,1,2,1
"182","bad",24,2,2,1,2
"505","bad",21,1,2,1,1
"1915","good",24,2,1,1,1
"500","bad",31,1,2,1,2
"2298","good",43,3,2,2,2
"975","bad",23,2,2,1,2
"1313","good",24,2,2,1,2
"2458","good",39,3,1,1,1
"342","bad",27,2,1,2,1
"1730","good",51,3,2,1,2
"959","bad",22,1,2,1,2
"827","bad",25,2,2,1,2
"2284","good",28,2,1,2,1
"1945","good",38,3,2,1,2
"350","bad",39,2,2,2,2
"558","bad",21,1,2,2,2
"268","bad",23,1,2,1,2
"2046","good",48,3,2,2,2
"1230","good",29,3,1,1,1
"587","bad",34,1,2,2,2
"672","bad",33,2,2,1,2
"411","bad",28,1,2,1,2
"2446","good",40,2,1,2,1
"1400","good",41,2,2,2,2
"1058","good",21,2,2,2,1
"284","bad",31,3,2,2,2
"258","bad",35,3,2,1,2
"2451","good",33,2,2,1,2
"2076","good",46,2,2,1,1
"858","bad",37,2,2,2,2
"885","bad",21,1,2,2,2
"910","bad",23,2,2,1,2
"330","bad",22,2,2,2,2
"1672","good",25,2,2,1,2
"538","bad",32,1,2,2,2
"1687","good",43,3,2,2,1
"2079","good",47,3,2,1,2
"361","bad",57,1,2,1,2
"595","bad",31,1,2,2,2
"908","bad",41,2,2,2,2
"859","bad",25,2,1,2,1
"2302","good",28,3,2,2,2
"1566","good",28,3,1,2,1
"1172","good",41,2,1,2,1
"2365","good",33,3,1,1,1
"640","bad",22,2,2,2,2
"1088","good",45,2,1,2,1
"2443","good",59,1,2,1,2
"1189","good",50,3,2,1,2
"1922","good",31,3,1,1,1
"2162","good",28,2,2,2,1
"2288","good",39,3,2,1,2
"1651","good",42,1,2,2,2
"1360","good",22,1,1,2,1
"1031","good",30,2,1,2,1
"1907","good",28,3,2,2,2
"1370","good",43,3,2,2,2
"504","bad",21,1,2,2,1
"1067","good",47,2,1,1,1
"1396","good",28,2,1,1,1
"1661","good",28,1,2,2,2
"506","bad",23,2,2,1,2
"1008","bad",23,2,2,2,2
"1546","good",28,2,1,1,1
"371","bad",23,1,2,1,2
"1529","good",44,2,2,1,2
"1811","good",32,2,2,2,2
"1347","good",36,2,1,2,1
"2007","good",27,3,2,1,2
"521","bad",21,2,2,2,2
"1831","good",23,3,1,1,1
"1946","good",28,3,1,1,1
"1955","good",44,2,1,2,1
"1412","good",35,2,2,2,2
"1410","good",48,3,2,2,1
"1650","good",35,1,1,2,1
"1899","good",36,3,2,2,1
"624","bad",25,2,2,1,2
"1087","good",43,3,1,2,1
"1901","good",47,3,2,2,2
"697","bad",22,2,2,1,2
"1500","good",46,2,2,1,2
"1989","good",30,3,1,2,1
"1151","good",34,2,1,2,1
"1308","good",45,3,2,2,2
"129","bad",31,2,1,1,1
"2099","good",35,3,2,2,2
"2166","good",23,3,2,1,2
"236","bad",43,2,2,2,2
"2342","good",29,1,1,2,2
"123","bad",24,2,2,2,2
"209","bad",22,2,2,1,2
"849","bad",35,3,2,1,2
"1867","good",35,2,1,1,1
"383","bad",34,2,2,1,2
"2092","good",22,2,1,1,1
"1224","good",31,3,2,1,2
"862","bad",25,2,2,1,2
"206","bad",35,1,2,2,2
"424","bad",30,1,2,2,2
"1431","good",45,2,2,2,2
"2070","good",34,2,1,1,1
"1652","good",42,3,2,2,2
"600","bad",23,1,1,1,1
"1304","good",41,2,1,2,1
"2020","good",35,2,2,2,2
"1445","good",32,1,1,2,1
"1874","good",41,3,2,2,2
"2315","good",39,3,1,1,1
"139","bad",37,2,2,2,2
"1028","good",35,2,2,1,1
"394","bad",38,2,2,2,2
"213","bad",37,1,2,2,2
"1622","good",46,2,2,2,2
"12","bad",46,1,2,1,2
"581","bad",36,2,2,2,2
"341","bad",36,2,1,1,2
"1243","good",28,3,1,1,1
"954","bad",21,2,2,1,2
"88","bad",36,1,2,2,1
"688","bad",33,1,2,2,2
"1380","good",25,3,2,1,2
"1075","good",34,2,1,1,1
"982","bad",21,2,2,2,1
"31","bad",21,1,2,2,2
"1255","good",26,3,2,1,2
"2199","good",35,2,1,2,1
"1581","good",37,2,2,1,1
"46","bad",32,2,2,1,2
"2394","good",29,2,1,2,1
"1181","good",39,3,2,2,2
"52","bad",31,2,2,1,2
"1577","good",38,3,1,1,1
"1825","good",33,3,2,2,2
"976","bad",33,3,2,2,2
"409","bad",37,2,1,2,1
"1578","good",46,2,1,2,1
"375","bad",33,2,1,2,1
"448","bad",24,1,2,2,2
"2119","good",49,2,1,1,1
"48","bad",23,2,2,2,2
"2061","good",25,3,2,2,2
"1069","good",27,3,1,1,1
"1005","bad",24,1,2,2,2
"1397","good",21,2,2,2,2
"2059","good",52,2,1,2,1
"1700","good",38,3,2,1,2
"2233","good",39,2,2,1,2
"1095","good",50,2,2,2,2
"2000","good",28,1,1,2,1
"623","bad",31,1,2,2,2
"1869","good",22,3,1,1,1
"753","bad",20,2,2,2,2
"567","bad",20,2,2,2,2
"1286","good",29,3,2,1,2
"1379","good",45,3,2,1,2
"2150","good",31,3,1,2,1
"476","bad",26,3,2,2,2
"195","bad",24,1,2,2,2
"765","bad",20,2,2,1,2
"2296","good",46,3,2,1,2
"256","bad",23,2,1,2,1
"661","bad",27,1,2,1,2
"871","bad",36,1,1,1,1
"1062","good",40,3,2,1,2
"87","bad",35,2,2,2,2
"820","bad",47,1,2,2,2
"133","bad",23,3,2,1,2
"1952","good",51,3,1,2,1
"72","bad",22,2,2,1,2
"878","bad",28,1,2,2,1
"414","bad",24,1,2,1,2
"15","bad",40,1,2,1,2
"828","bad",27,2,1,2,1
"149","bad",33,1,2,1,2
"1772","good",43,2,1,1,1
"480","bad",34,2,1,1,1
"2345","good",34,3,2,1,2
"1362","good",50,2,1,1,1
"2133","good",21,3,2,1,1
"241","bad",20,1,1,2,1
"1216","good",42,3,1,2,1
"1550","good",42,3,2,2,1
"1355","good",44,2,1,2,1
"1634","good",37,2,1,1,1
"1621","good",30,3,1,1,1
"1483","good",54,2,2,2,2
"1940","good",41,3,2,2,2
"1343","good",48,3,2,1,2
"2195","good",36,3,2,1,2
"2241","good",27,2,1,1,1
"905","bad",34,2,2,1,2
"886","bad",24,1,1,2,1
"1050","good",32,2,1,1,1
"119","bad",26,3,2,2,1
"1300","good",44,3,1,1,1
"1084","good",37,2,2,1,2
"1294","good",46,2,2,1,1
"1879","good",30,2,1,1,1
"1037","good",54,3,2,2,2
"942","bad",26,2,2,1,1
"397","bad",35,1,2,2,2
"2450","good",31,2,2,2,2
"943","bad",34,1,2,2,2
"896","bad",29,1,2,2,2
"1471","good",43,3,2,2,2
"1463","good",22,3,2,1,2
"106","bad",53,1,2,2,2
"2331","good",43,3,1,1,1
"1728","good",42,2,2,1,2
"1732","good",44,2,1,1,1
"1773","good",36,2,1,2,1
"1942","good",39,3,1,1,1
"2179","good",51,3,1,1,1
"2359","good",30,2,2,1,2
"841","bad",38,2,2,2,2
"2113","good",31,2,2,1,2
"2192","good",44,2,1,2,2
"582","bad",37,1,2,1,2
"1429","good",35,2,2,1,1
"2325","good",35,2,1,2,1
"1545","good",42,2,1,1,1
"1925","good",34,2,2,2,2
"1482","good",46,2,1,2,1
"771","bad",28,2,2,2,2
"2109","good",37,3,1,1,1
"1197","good",26,3,1,1,2
"2384","good",25,2,1,2,1
"1348","good",31,2,2,1,2
"451","bad",31,2,2,1,2
"353","bad",34,2,2,2,2
"1389","good",31,3,1,1,1
"831","bad",29,1,2,2,2
"1012","bad",30,1,2,2,2
"1691","good",27,2,1,2,1
"607","bad",39,1,2,2,2
"1688","good",53,3,1,1,1
"1548","good",41,3,1,2,1
"1384","good",34,3,1,2,2
"2254","good",32,3,1,1,1
"1071","good",28,3,1,2,2
"1366","good",27,3,2,2,2
"175","bad",34,3,2,1,1
"223","bad",21,1,2,1,2
"2057","good",24,3,2,2,2
"2410","good",24,3,2,1,2
"2196","good",46,2,1,2,1
"41","bad",47,2,2,2,2
"400","bad",23,1,2,1,2
"432","bad",36,1,2,2,2
"373","bad",32,2,2,2,2
"1045","good",44,2,2,2,2
"895","bad",20,1,2,1,2
"1209","good",36,3,1,2,1
"1765","good",28,2,2,2,2
"846","bad",29,1,2,1,2
"502","bad",37,2,2,2,2
"65","bad",26,1,2,1,2
"81","bad",21,1,2,1,2
"806","bad",31,1,2,2,2
"2093","good",33,3,1,1,1
"2015","good",48,3,2,1,2
"519","bad",33,3,1,2,1
"627","bad",34,1,2,2,2
"956","bad",22,2,2,1,2
"2418","good",38,3,2,2,2
"20","bad",26,3,2,2,2
"339","bad",25,2,2,1,2
"1017","bad",21,2,1,2,1
"516","bad",22,1,2,1,2
"1025","good",30,3,1,1,2
"49","bad",35,2,2,1,2
"492","bad",24,1,2,1,2
"2078","good",36,2,1,1,1
"491","bad",37,1,2,2,2
"143","bad",40,1,2,1,2
"115","bad",20,2,1,2,1
"231","bad",28,1,2,1,2
"377","bad",26,3,2,1,1
"425","bad",37,2,2,2,2
"1413","good",43,2,1,2,1
"277","bad",26,2,1,2,1
"920","bad",42,1,2,2,2
"1364","good",50,2,1,1,1
"2388","good",43,3,1,2,2
"759","bad",26,1,2,2,2
"77","bad",25,1,2,2,2
"2348","good",35,2,2,1,1
"1998","good",42,2,2,1,2
"958","bad",30,2,2,1,2
"957","bad",23,3,2,2,2
